Closing Spread,Game Count,Record,Win %,Average MOV,Record,Win %,Average MOV,Record,Win %,Average MOV,wins,min range,max range,,Window Win Pct
43.5,1,0-1-0,0.00%,-47,0-1-0,0.00%,-47,--,--,,0,42,45,,0.001
42.5,3,0-3-0,0.00%,-50.67,0-3-0,0.00%,-50.67,--,--,,0,41,44,,0.001
42,1,0-1-0,0.00%,-68,0-1-0,0.00%,-68,--,--,,0,40.5,43.5,,0.001
41.5,1,0-1-0,0.00%,-50,0-1-0,0.00%,-50,--,--,,0,40,43,,0.001
41,1,0-1-0,0.00%,-39,0-1-0,0.00%,-39,--,--,,0,39.5,42.5,,0.001
40.5,1,0-1-0,0.00%,-39,0-1-0,0.00%,-39,--,--,,0,39,42,,0.001
40,1,0-1-0,0.00%,-45,0-1-0,0.00%,-45,--,--,,0,38.5,41.5,,0.001
39.5,1,0-1-0,0.00%,-37,0-1-0,0.00%,-37,--,--,,0,38,41,,0.001
39,6,0-6-0,0.00%,-49,0-6-0,0.00%,-49,--,--,,0,37.5,40.5,,0.001
38.5,5,0-5-0,0.00%,-46,0-5-0,0.00%,-46,--,--,,0,37,40,,0.001
38,3,0-3-0,0.00%,-27.67,0-3-0,0.00%,-27.67,--,--,,0,36.5,39.5,,0.001
37.5,4,0-4-0,0.00%,-39.25,0-4-0,0.00%,-39.25,--,--,,0,36,39,,0.001
37,6,0-6-0,0.00%,-28.17,0-6-0,0.00%,-28.17,--,--,,0,35.5,38.5,,0.001
36.5,6,0-6-0,0.00%,-44,0-6-0,0.00%,-44,--,--,,0,35,38,,0.001
36,8,0-8-0,0.00%,-36.25,0-8-0,0.00%,-36.25,--,--,,0,34.5,37.5,,0.001
35.5,9,0-9-0,0.00%,-49.22,0-9-0,0.00%,-49.22,--,--,,0,34,37,,0.001
35,7,0-7-0,0.00%,-37.57,0-7-0,0.00%,-37.57,--,--,,0,33.5,36.5,,0.001
34.5,12,0-12-0,0.00%,-41.92,0-12-0,0.00%,-41.92,--,--,,0,33,36,,0.001
34,17,0-17-0,0.00%,-36.18,0-16-0,0.00%,-37.38,0-1-0,0.00%,-17,0,32.5,35.5,,0.001
33.5,15,0-15-0,0.00%,-35.2,0-14-0,0.00%,-37.14,0-1-0,0.00%,-8,0,32,35,,0.001
